epiweek,South,Southeast,Midwest,North,Northeast,Brazil
1,211,1121,250,253,668,2503
2,504,1005,280,330,853,2972
3,206,750,283,183,542,1964
4,333,416,191,288,926,2154
5,171,596,292,313,870,2242
6,241,723,267,403,904,2538
7,352,812,194,306,768,2432
8,352,1337,197,259,759,2904
9,205,607,162,374,1021,2369
10,236,649,220,376,1010,2491
11,279,600,372,368,947,2566
12,460,1311,339,293,1103,3506
13,285,1384,167,357,1329,3522
14,313,1626,180,303,1245,3667
15,294,1355,228,466,1167,3510
16,283,1694,172,931,1212,4292
17,307,2521,128,2132,1677,6765
18,244,3687,146,2587,2754,9418
19,312,3891,285,2261,4027,10776
20,360,4167,207,1889,4180,10803
21,114,2989,159,1773,4174,9209
22,161,2667,264,1256,3844,8192
23,292,2587,262,1009,3311,7461
24,190,1769,379,893,3120,6351
25,171,1712,535,709,2830,5957
26,204,1701,687,717,2708,6017
27,303,2281,736,594,2301,6215
28,232,2010,772,646,2217,5877
29,423,1622,998,594,2283,5920
30,406,2228,1107,658,2097,6496
31,660,1670,991,505,1974,5800
32,465,2023,1061,535,2024,6108
33,451,2555,1252,455,1681,6394
34,494,1797,1137,506,1571,5505
35,531,2441,1003,598,1323,5896
36,420,2377,932,506,1322,5557
37,344,2208,726,377,1276,4931
38,414,1871,676,503,1228,4692
39,494,1779,684,433,995,4385
40,607,3076,865,363,1131,6042
41,224,2303,1094,290,531,4442
42,462,2183,880,342,1202,5069
43,343,1293,530,233,1061,3460
44,387,1308,479,341,1086,3601
45,466,1759,418,309,1180,4132
46,733,1886,372,283,1176,4450
47,615,2430,335,201,1330,4911
48,1251,2466,414,185,1174,5490
49,1376,3221,425,329,1461,6812
50,1318,2695,301,311,1403,6028
51,1303,2903,521,453,1554,6734
52,1197,3912,436,325,1196,7066
53,1176,3487,545,499,1289,6996