country_name,country
Australia,AUS
Austria,AUT
Belarus,BLR
Belgium,BEL
Bulgaria,BGR
Canada,CAN
Chile,CHL
Croatia,HRV
Czechia,CZE
Denmark,DNK
Estonia,EST
Finland,FIN
France,FRATNP
France civilian,FRACNP
Germany,DEUTNP
East Germany,DEUTE
West Germany,DEUTW
Greece,GRC
Hong Kong,HKG
Hungary,HUN
Iceland,ISL
Ireland,IRL
Israel,ISR
Italy,ITA
Japan,JPN
Latvia,LVA
Lithuania,LTU
Luxembourg,LUX
Netherlands,NLD
New Zealand,NZL_NP
New Zealand Maori,NZL_MA
New Zealand Non-Maori,NZL_NM
Norway,NOR
Poland,POL
Portugal,PRT
Republic of Korea,KOR
Russia,RUS
Slovakia,SVK
Slovenia,SVN
Spain,ESP
Sweden,SWE
Switzerland,CHE
Taiwan,TWN
United Kingdom,GBR_NP
England & Wales,GBRTENW
England & Wales civilian,GBRCENW
Scotland,GBR_SCO
Northern Ireland,GBR_NIR
U.S.A.,USA
Ukraine,UKR